number,value,datetime_start,datetime_complete,duration,params_D2_nm,params_D3_nm,params_D4_nm,params_metal,state
46,-33.46994535518047,2025-11-13 12:25:42.767667,2025-11-13 12:25:43.285352,0 days 00:00:00.517685,77.72222736788942,5.113676444548252,0.6001122206594177,Ag,COMPLETE
47,-14.388489208631016,2025-11-13 12:25:43.166956,2025-11-13 12:25:43.531995,0 days 00:00:00.365039,90.12436227271435,4.687886942555261,0.594041580745136,Ag,COMPLETE
48,-22.940074906361872,2025-11-13 12:25:43.198474,2025-11-13 12:25:43.864311,0 days 00:00:00.665837,86.35965794526466,4.860522409418823,0.5971341454970329,Ag,COMPLETE
49,-28.40909090908219,2025-11-13 12:25:43.245355,2025-11-13 12:25:43.732209,0 days 00:00:00.486854,85.47560990327904,2.3873526128486784,0.5722507645918967,Ag,COMPLETE
50,-27.777777777770062,2025-11-13 12:25:43.303449,2025-11-13 12:25:43.879916,0 days 00:00:00.576467,83.94356132521717,4.496271895353421,0.5649046156824075,Ag,COMPLETE
51,-40.76086956519973,2025-11-13 12:25:43.401514,2025-11-13 12:25:43.995355,0 days 00:00:00.593841,74.62928218429319,2.789557206880767,0.5762239917907681,Ag,COMPLETE
52,-39.85507246375091,2025-11-13 12:25:43.430271,2025-11-13 12:25:43.813762,0 days 00:00:00.383491,75.95554567695609,2.416813258733296,0.5981293069625908,Ag,COMPLETE
53,-11.84433164128474,2025-11-13 12:25:43.570719,2025-11-13 12:25:44.138939,0 days 00:00:00.568220,75.54571570771702,2.8361199224575047,0.41282181600342427,Cu,COMPLETE
54,-41.66666666664841,2025-11-13 12:25:43.631471,2025-11-13 12:25:44.182718,0 days 00:00:00.551247,75.95870427662842,2.7364143665953593,0.3878791499897264,Ag,COMPLETE
55,-42.635658914708635,2025-11-13 12:25:43.780366,2025-11-13 12:25:44.164819,0 days 00:00:00.384453,74.87136181280563,2.5139508686093297,0.34406729286316146,Ag,COMPLETE
56,-44.71544715444965,2025-11-13 12:25:44.113684,2025-11-13 12:25:44.782067,0 days 00:00:00.668383,73.8568083863593,2.672732036788695,0.2445798521544452,Ag,COMPLETE
57,-49.99999999997152,2025-11-13 12:25:44.134724,2025-11-13 12:25:44.526864,0 days 00:00:00.392140,66.83361832802885,0.5214937463025124,0.3176207036294908,Ag,COMPLETE
58,-48.42342342339707,2025-11-13 12:25:44.247631,2025-11-13 12:25:44.511320,0 days 00:00:00.263689,72.38936015598301,1.7787091615987265,0.12572597592899437,Ag,COMPLETE
59,-50.24509803918625,2025-11-13 12:25:44.263175,2025-11-13 12:25:44.748613,0 days 00:00:00.485438,66.92813763641847,0.5491193096542517,0.2622199413362546,Ag,COMPLETE
60,-49.999999999971564,2025-11-13 12:25:44.315926,2025-11-13 12:25:44.894111,0 days 00:00:00.578185,67.56907663034877,0.9358155933597792,0.2459198846872715,Ag,COMPLETE
61,-50.24509803918625,2025-11-13 12:25:44.315926,2025-11-13 12:25:44.798045,0 days 00:00:00.482119,68.25654625462703,0.5819313730950508,0.25509596188725536,Ag,COMPLETE
62,-50.24509803918625,2025-11-13 12:25:44.526864,2025-11-13 12:25:45.143334,0 days 00:00:00.616470,66.64357666267813,0.5767477134228169,0.2458742304574124,Ag,COMPLETE
63,-51.47058823526383,2025-11-13 12:25:44.633849,2025-11-13 12:25:45.152551,0 days 00:00:00.518702,66.47725613733888,0.6672962286695624,0.22948918927379003,Ag,COMPLETE
64,-51.47058823526383,2025-11-13 12:25:44.816068,2025-11-13 12:25:45.121123,0 days 00:00:00.305055,68.43830667621671,0.6150330312700818,0.24055662523725296,Ag,COMPLETE
65,-51.47058823526388,2025-11-13 12:25:44.862879,2025-11-13 12:25:45.449928,0 days 00:00:00.587049,64.85136670103391,0.5646712849553035,0.23842083475822123,Ag,COMPLETE
66,-18.82716049382434,2025-11-13 12:25:45.050229,2025-11-13 12:25:45.449928,0 days 00:00:00.399699,66.17438788872349,1.2154625836382793,0.2279845674539864,Au,COMPLETE
67,-18.82716049382434,2025-11-13 12:25:45.090543,2025-11-13 12:25:45.481982,0 days 00:00:00.391439,67.52558242044,1.2300065974197256,0.23870839774984062,Au,COMPLETE
68,-38.94927536230185,2025-11-13 12:25:45.198513,2025-11-13 12:25:45.632995,0 days 00:00:00.434482,54.135606913684605,1.8168717205096279,0.46634651511254777,Ag,COMPLETE
69,-18.967661691539455,2025-11-13 12:25:45.154612,2025-11-13 12:25:45.824990,0 days 00:00:00.670378,67.68250170773301,1.1600908305937256,0.2026287642249142,Au,COMPLETE
70,-39.81481481479711,2025-11-13 12:25:45.316956,2025-11-13 12:25:45.778200,0 days 00:00:00.461244,52.348613629600386,1.7108125561133638,0.18823216230280104,Ag,COMPLETE
71,-15.25821596243915,2025-11-13 12:25:45.425471,2025-11-13 12:25:45.900343,0 days 00:00:00.474872,63.49928680132776,1.8482725201500387,0.15813645160359457,Cu,COMPLETE
72,-49.99999999997149,2025-11-13 12:25:45.610311,2025-11-13 12:25:46.047900,0 days 00:00:00.437589,63.64867176058097,0.6585487195331166,0.27515259959916166,Ag,COMPLETE
73,-51.47058823526383,2025-11-13 12:25:45.746943,2025-11-13 12:25:46.198007,0 days 00:00:00.451064,70.17585350130858,0.5829714723066178,0.29206223540231563,Ag,COMPLETE
74,-34.72222222220921,2025-11-13 12:25:45.824990,2025-11-13 12:25:46.314407,0 days 00:00:00.489417,81.30863423148892,3.656942204148538,0.2892852957889251,Ag,COMPLETE
75,-50.24509803918625,2025-11-13 12:25:45.947790,2025-11-13 12:25:46.314407,0 days 00:00:00.366617,69.25767135043588,0.5139077550122613,0.28377171067434515,Ag,COMPLETE
76,-30.36723163840784,2025-11-13 12:25:46.165216,2025-11-13 12:25:46.748944,0 days 00:00:00.583728,46.928621777831374,2.0289703927299994,0.5103458532848572,Ag,COMPLETE
77,-26.701877934268587,2025-11-13 12:25:46.237470,2025-11-13 12:25:47.020472,0 days 00:00:00.783002,61.73241763947076,14.741180445049633,0.11953147231799505,Ag,COMPLETE
78,-44.715447154449805,2025-11-13 12:25:46.198007,2025-11-13 12:25:46.799009,0 days 00:00:00.601002,70.48371244530287,3.2619117379169453,0.10042287513997983,Ag,COMPLETE
79,-130.35714285713357,2025-11-13 12:25:46.262737,2025-11-13 12:25:46.782825,0 days 00:00:00.520088,24.13247536137964,17.435903833132212,0.10150819602867242,Ag,COMPLETE
