number,value,datetime_start,datetime_complete,duration,params_D2_nm,params_D3_nm,params_D4_nm,params_metal,state
3246,0.0,2026-03-20 00:25:34.740926,2026-03-20 00:25:35.309153,0 days 00:00:00.568227,26.363030233397282,19.59046668114851,0.45216700758449924,Cu,COMPLETE
3247,0.0,2026-03-20 00:25:34.796888,2026-03-20 00:25:35.493228,0 days 00:00:00.696340,26.809376326660225,19.59565632550713,0.4398035829698961,Cu,COMPLETE
3248,0.0,2026-03-20 00:25:34.859456,2026-03-20 00:25:35.306259,0 days 00:00:00.446803,26.539970571049082,19.569753959408416,0.4480328756028282,Cu,COMPLETE
3249,-2.3006134969322867,2026-03-20 00:25:34.962981,2026-03-20 00:25:35.459652,0 days 00:00:00.496671,26.410216176509007,19.5823401934877,0.44291922704891046,Cu,COMPLETE
3250,0.0,2026-03-20 00:25:35.038941,2026-03-20 00:25:35.599234,0 days 00:00:00.560293,25.95056555427604,19.579813937954853,0.4499290962160579,Cu,COMPLETE
3251,0.0,2026-03-20 00:25:35.435482,2026-03-20 00:25:35.949111,0 days 00:00:00.513629,23.487219779983167,18.927281556390106,0.34266730388378236,Cu,COMPLETE
3252,0.0,2026-03-20 00:25:35.487332,2026-03-20 00:25:36.054491,0 days 00:00:00.567159,23.793681270948117,18.89791056085342,0.34375734227433663,Cu,COMPLETE
3253,0.0,2026-03-20 00:25:35.510496,2026-03-20 00:25:36.213690,0 days 00:00:00.703194,23.70271093269395,18.99307282603813,0.3470256163767287,Cu,COMPLETE
3254,0.0,2026-03-20 00:25:35.533631,2026-03-20 00:25:36.251780,0 days 00:00:00.718149,23.5695034836922,18.97537482178303,0.5610927448346533,Cu,COMPLETE
3255,0.0,2026-03-20 00:25:35.557205,2026-03-20 00:25:36.216607,0 days 00:00:00.659402,23.663887356216662,18.964881084949834,0.3549736933939634,Cu,COMPLETE
3256,0.0,2026-03-20 00:25:35.630975,2026-03-20 00:25:36.269148,0 days 00:00:00.638173,20.01219684767252,18.807304698196248,0.346154488408942,Cu,COMPLETE
3257,0.0,2026-03-20 00:25:35.734231,2026-03-20 00:25:36.371135,0 days 00:00:00.636904,23.439145056196846,18.98972038739512,0.3422358088650386,Cu,COMPLETE
3258,0.0,2026-03-20 00:25:35.767084,2026-03-20 00:25:36.318685,0 days 00:00:00.551601,20.019210843338392,18.896836378167063,0.3437007157107088,Cu,COMPLETE
3259,0.0,2026-03-20 00:25:36.107156,2026-03-20 00:25:36.728149,0 days 00:00:00.620993,21.658465485363035,18.371888506695324,0.40437313053531243,Cu,COMPLETE
3260,-189.35349940686675,2026-03-20 00:25:36.206654,2026-03-20 00:25:36.725643,0 days 00:00:00.518989,22.06612082306187,18.347312997248565,0.3905803017987621,Cu,COMPLETE
3261,-212.56510416665003,2026-03-20 00:25:36.333515,2026-03-20 00:25:37.094078,0 days 00:00:00.760563,21.96164765592022,19.329200730950983,0.3963197124462156,Cu,COMPLETE
3262,-188.68203309691341,2026-03-20 00:25:36.381970,2026-03-20 00:25:37.010581,0 days 00:00:00.628611,21.87340484364183,18.435110046625372,0.40632090505203095,Cu,COMPLETE
3263,0.0,2026-03-20 00:25:36.397452,2026-03-20 00:25:37.024056,0 days 00:00:00.626604,21.668711626216,18.305624238724313,0.40185090585401784,Cu,COMPLETE
3264,-190.32738095236735,2026-03-20 00:25:36.423986,2026-03-20 00:25:37.089929,0 days 00:00:00.665943,22.020366999571372,18.422708907819434,0.41233767058645554,Cu,COMPLETE
3265,-194.69696969695548,2026-03-20 00:25:36.460776,2026-03-20 00:25:36.986383,0 days 00:00:00.525607,22.23234142461721,18.49535928040148,0.410035641814455,Cu,COMPLETE
3266,-192.9903730445108,2026-03-20 00:25:36.490507,2026-03-20 00:25:37.092432,0 days 00:00:00.601925,22.214283693306566,18.425395195598977,0.41517307428197814,Cu,COMPLETE
3267,79.98783454987601,2026-03-20 00:25:36.913901,2026-03-20 00:25:37.536264,0 days 00:00:00.622363,29.81429653971607,19.94487330435456,0.3751982251827253,Cu,COMPLETE
3268,0.0,2026-03-20 00:25:36.940088,2026-03-20 00:25:37.416278,0 days 00:00:00.476190,20.06164700226218,19.34279005664551,0.4153798992718676,Cu,COMPLETE
3269,0.0,2026-03-20 00:25:37.129604,2026-03-20 00:25:38.070841,0 days 00:00:00.941237,28.98780307234856,19.98856318664842,0.5044518109376093,Cu,COMPLETE
3270,0.0,2026-03-20 00:25:37.176983,2026-03-20 00:25:37.752600,0 days 00:00:00.575617,29.728849288766895,19.98342641545157,0.3046238456251185,Cu,COMPLETE
3271,0.0,2026-03-20 00:25:37.208127,2026-03-20 00:25:37.799647,0 days 00:00:00.591520,29.75405513573157,19.968690873635346,0.3084653494350249,Cu,COMPLETE
3272,0.0,2026-03-20 00:25:37.263791,2026-03-20 00:25:38.313961,0 days 00:00:01.050170,24.307438062576328,19.995266603972826,0.3018988542718082,Cu,COMPLETE
3273,4.251700680271762,2026-03-20 00:25:37.330001,2026-03-20 00:25:38.004581,0 days 00:00:00.674580,29.188694497034174,19.985947342598088,0.30417894467924295,Cu,COMPLETE
3274,0.0,2026-03-20 00:25:37.360721,2026-03-20 00:25:38.151934,0 days 00:00:00.791213,24.911024151176672,19.752373069251792,0.30824324154390365,Cu,COMPLETE
3275,0.0,2026-03-20 00:25:37.624268,2026-03-20 00:25:38.331098,0 days 00:00:00.706830,24.78197270223332,19.636937830212197,0.30362128833527324,Cu,COMPLETE
3276,0.0,2026-03-20 00:25:37.724734,2026-03-20 00:25:38.347153,0 days 00:00:00.622419,24.711543152751226,19.987195180914096,0.5251271669686504,Cu,COMPLETE
3277,0.0,2026-03-20 00:25:37.903451,2026-03-20 00:25:38.715273,0 days 00:00:00.811822,24.941735745512553,19.313741403900313,0.49267416489965854,Cu,COMPLETE
3278,0.0,2026-03-20 00:25:38.036095,2026-03-20 00:25:38.808219,0 days 00:00:00.772124,24.62879416547215,19.35564959393911,0.4674990998021591,Cu,COMPLETE
3279,0.0,2026-03-20 00:25:38.206639,2026-03-20 00:25:38.910756,0 days 00:00:00.704117,23.716535926183937,19.288060394754385,0.48271881067086164,Cu,COMPLETE
3280,0.0,2026-03-20 00:25:38.274263,2026-03-20 00:25:39.131159,0 days 00:00:00.856896,20.143447522232407,19.261497715203767,0.475025712182974,Cu,COMPLETE
3281,0.0,2026-03-20 00:25:38.360684,2026-03-20 00:25:38.883576,0 days 00:00:00.522892,20.04974002893496,19.30328108000388,0.47163409857255556,Cu,COMPLETE
3282,0.0,2026-03-20 00:25:38.425905,2026-03-20 00:25:39.181085,0 days 00:00:00.755180,20.19700514007584,19.29955701487017,0.4700935883012868,Cu,COMPLETE
3283,0.0,2026-03-20 00:25:38.529844,2026-03-20 00:25:39.067932,0 days 00:00:00.538088,20.025264835444673,19.34796677437062,0.472896451771049,Cu,COMPLETE
3284,0.0,2026-03-20 00:25:38.572827,2026-03-20 00:25:39.129643,0 days 00:00:00.556816,20.08431340081866,19.18364590352924,0.36947289340723377,Cu,COMPLETE
3285,0.0,2026-03-20 00:25:38.925699,2026-03-20 00:25:39.862103,0 days 00:00:00.936404,22.900173511632314,19.636873483740665,0.3711397128050934,Cu,COMPLETE
3286,0.0,2026-03-20 00:25:39.033897,2026-03-20 00:25:39.633173,0 days 00:00:00.599276,23.0710434207734,19.609372236730092,0.362753548515793,Cu,COMPLETE
3287,-13.728323699420436,2026-03-20 00:25:39.089091,2026-03-20 00:25:39.681364,0 days 00:00:00.592273,23.014041738441186,19.610711718073702,0.36970472435999047,Cu,COMPLETE
3288,-13.728323699420436,2026-03-20 00:25:38.999470,2026-03-20 00:25:39.636176,0 days 00:00:00.636706,23.075189146104044,19.592011424115007,0.358902857494684,Cu,COMPLETE
3289,0.0,2026-03-20 00:25:39.194328,2026-03-20 00:25:39.747148,0 days 00:00:00.552820,23.235987113725116,19.593815750934674,0.3666322953656721,Cu,COMPLETE
3290,0.0,2026-03-20 00:25:39.271487,2026-03-20 00:25:39.829513,0 days 00:00:00.558026,22.69311314069305,19.644051074202,0.34465724632745276,Cu,COMPLETE
3291,-13.808139534882145,2026-03-20 00:25:39.313673,2026-03-20 00:25:39.827505,0 days 00:00:00.513832,23.211772642155402,19.617782925991786,0.3648618712813171,Cu,COMPLETE
3292,0.0,2026-03-20 00:25:39.373938,2026-03-20 00:25:39.960557,0 days 00:00:00.586619,22.825503629474014,19.591380263825656,0.37009002176466876,Cu,COMPLETE
3293,-12.080867850097176,2026-03-20 00:25:39.801263,2026-03-20 00:25:40.426980,0 days 00:00:00.625717,25.61395933030855,18.809526235148418,0.42494885137230787,Cu,COMPLETE
